Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Afghanistan,2014,7th,Alert,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9,6.04,1.82,0.398,0.479,5.6,0.479
Albania,2014,123rd,Stable,5,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2,7.78,3.5,0.715,0.762,7.41,0.762
Algeria,2014,71st,Warning,7.5,7.3,7.9,6.1,5.9,5,7.5,6.1,7.4,5.7,6.7,5.7,7.48,2.12,0.658,0.743,5.19,0.743
Angola,2014,43rd,Warning,5.8,7.2,7.1,5.4,9.5,6,8,9.1,7,9,7.5,5.8,8.13,1.52,0.718,0.857,5.77,0.857
Antigua and Barbuda,2014,127th,Stable,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1,5.23,1.46,0.48,0.531,5.9,0.531
Argentina,2014,144th,Stable,3.3,2.8,5.3,4.3,5.7,2.7,4.3,4.1,4.4,4.2,2.3,3.9,7.61,3.24,0.695,0.784,0.05,0.784
Armenia,2014,104th,Warning,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5,7.63,1.22,0.807,0.826,7.31,0.826
Australia,2014,169th,Sustainable,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3,7.47,1.12,0.73,0.741,9.39,0.741
Austria,2014,167th,Sustainable,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7,8.24,0.98,0.939,0.937,8.12,0.937
Azerbaijan,2014,76th,Warning,7,7.9,6.7,4.4,6.2,4.7,8.3,5.3,7.7,5.4,7.6,6.6,8.14,3.02,0.82,0.892,1.12,0.892
Bahamas,2014,134th,Stable,4.3,4.5,4.4,4.7,5.3,5.3,4.6,4.7,3.1,6.5,2.7,4,7.08,0.24,0.723,0.758,0,0.758
Bahrain,2014,120th,Warning,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6,7.54,0.88,0.713,0.79,10,0.79
Bangladesh,2014,29th,Warning,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6,7.66,2.46,0.717,0.823,9.37,0.823
Barbados,2014,138th,Stable,4.2,4.2,4.4,5.8,5.4,5.9,3.3,3,2.8,4.1,3,5.3,7.16,1.18,0.457,0.575,8.58,0.575
Belarus,2014,90th,Warning,6.1,8.3,7.1,6,5.5,3.7,8.8,5,8.1,5.5,3.6,7.3,7.56,1.7,0.773,0.794,3.76,0.794
Belgium,2014,164th,Sustainable,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9,7.13,2.32,0.833,0.798,1.16,0.798
Belize,2014,114th,Stable,5.5,4.3,4.4,5.6,6.5,6.8,6,6.1,4.4,6.2,4.6,6.6,8.08,0.22,0.841,0.895,0.35,0.895
Benin,2014,74th,Warning,5.9,6.1,3.6,6.9,7.2,6.5,6.1,8.7,5.1,8.2,6.3,7.6,7,0.52,0.704,0.706,3.97,0.706
Bhutan,2014,64th,Warning,5.3,7.5,7.6,6,7.2,7.1,5.5,6.6,7,6.3,7.2,7.6,5.96,0.64,0.408,0.481,2.59,0.481
Bolivia,2014,70th,Warning,6.4,8,6.8,5.9,8.6,6.1,6.9,7,6,6.6,4.3,6.3,6.95,6.24,0.452,0.604,3.7,0.604
Bosnia and Herzegovina,2014,86th,Warning,6.5,8.7,7.4,5.5,5.9,5.8,6.8,4.4,6.1,4.1,6.8,7.9,6.83,3.58,0.656,0.671,6.58,0.671
Botswana,2014,121st,Stable,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8,5.5,4.9,7.65,1.36,0.694,0.747,0.08,0.747
Brazil,2014,125th,Stable,5.6,4.9,5.6,3.6,8,3.8,5.4,5.6,5.6,6.7,3.6,3,6.45,0.32,0.658,0.698,2.93,0.698
Brunei Darussalam,2014,123rd,Stable,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1,7.45,2.28,0.677,0.754,2.45,0.754
Bulgaria,2014,133rd,Stable,4.4,5.3,4.9,5.2,4.8,4.9,4.9,4.1,3.7,4.1,3.4,4.7,7.88,0.6,0.714,0.864,6.25,0.864
Burkina Faso,2014,39th,Warning,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9,7.6,7.7,7.42,0.32,0.778,0.792,0.56,0.792
Burundi,2014,21st,Warning,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5,5.87,2.14,0.261,0.399,4.24,0.399
Cambodia,2014,40th,Warning,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7,5.67,0.08,0.395,0.406,1.45,0.406
Cameroon,2014,27th,Warning,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5,7.33,0.88,0.531,0.646,0,0.646
Canada,2014,168th,Sustainable,2.1,2.5,3.4,2.1,3.2,2.2,1.2,2.3,2.1,2.7,2.3,1.3,6.84,1.38,0.459,0.558,5.29,0.558
Cape Verde,2014,93rd,Warning,5.7,5.5,4.2,6.2,7.2,8.6,6,6.8,4.8,6.8,4.4,7.9,5.55,1.52,0.493,0.514,0,0.514
Central African Republic,2014,3rd,Alert,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9,8.2,1.12,0.89,0.919,5.25,0.919
Chad,2014,6th,Alert,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2,5.07,1.28,0.338,0.347,1.59,0.347
Chile,2014,153rd,Stable,2.8,1.7,3.8,3.9,5.4,2.9,3.3,4.2,3.7,4.6,2.6,3.1,5.16,0.92,0.28,0.394,4.01,0.394
China,2014,68th,Warning,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5,8.17,1.82,0.784,0.845,0,0.845
Colombia,2014,59th,Warning,7,7.7,7.7,4.1,7.8,7,7.4,6.3,7.1,6.2,8,6.8,7.58,3.88,0.631,0.734,5.23,0.734
Comoros,2014,54th,Warning,7.5,7.5,5.3,8.3,6.7,7.5,7.1,8.2,6.9,7.3,4.8,8,7.4,1.44,0.63,0.724,4,0.724
Congo Democratic Republic,2014,4th,Alert,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8,6.33,0.76,0.469,0.498,6.5,0.498
Congo Republic,2014,37th,Warning,6.4,6.7,6.3,6.7,8.1,6.5,8.4,8.8,7.6,8.1,8.1,7.9,6.23,1.92,0.52,0.59,0.7,0.59
Costa Rica,2014,140th,Stable,2.8,3.8,4.4,4.6,5.8,3.2,3.2,4.8,2.3,4.6,4.4,4.6,5.87,3.46,0.457,0.425,0.41,0.425
Cote dIvoire,2014,14th,Warning,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4,7.94,0.54,0.684,0.775,0,0.775
Croatia,2014,136th,Warning,4.5,4.4,5.6,5,4.1,4.6,3.7,3.2,4.4,3.5,5.2,4.7,7.73,3.22,0.795,0.823,6.4,0.823
Cuba,2014,107th,Stable,6,7.2,4.8,4.8,5.9,6,6.8,4.9,7,5.9,5,6.5,7.94,1.22,0.779,0.773,0.31,0.773
Cyprus,2014,112th,Warning,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1,8.02,1.88,0.786,0.854,4.9,0.854
Czech Republic,2014,154th,Stable,2.3,4.3,3.8,4.8,3.5,3.1,4.2,3.4,2.4,2.4,2.3,2.9,7.86,1.32,0.878,0.875,0,0.875
Denmark,2014,176th,Sustainable,1.8,1.4,3.4,2.2,1.8,2,0.8,1.7,1.6,2.8,1.4,1.9,5.15,11.14,0.406,0.466,4.01,0.466
Djibouti,2014,45th,Warning,6.9,7.6,6.4,7.2,7.5,5.5,7.9,7.7,6.9,8.1,7.4,8,8.02,2.9,0.923,0.923,0,0.923
Dominican Republic,2014,95th,Warning,4.9,6.5,6.1,5.5,6.6,7.9,5.7,6.5,5.8,6.5,5.6,5.8,6.2,0.76,0.31,0.47,7.29,0.47
Ecuador,2014,79th,Warning,6.4,8.2,7.5,5.6,7.1,6.5,6.9,6.6,5,5.9,5.7,5.9,7.78,2.6,0.615,0.724,0,0.724
Egypt,2014,31st,Warning,7.9,9.4,8.6,7.9,6.8,5.1,9,5.7,9.7,7.1,6.4,7.4,7.35,1.24,0.622,0.718,0,0.718
El Salvador,2014,100th,Warning,6.1,4.3,6,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4,7.59,1.72,0.665,0.739,0,0.739
Equatorial Guinea,2014,52nd,Warning,7.2,8.2,6.6,4.2,8.8,6.3,9.7,7.4,9.5,8,3.6,5.8,7.11,1.66,0.597,0.688,0.14,0.688
Eritrea,2014,23rd,Warning,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5,7.3,1.48,0.584,0.678,0,0.678
Estonia,2014,147th,Stable,2.8,5.5,6.2,3.8,4,3.8,3.5,3.3,2.5,3.6,3.2,3,5.76,1.06,0.439,0.582,0.01,0.582
Ethiopia,2014,19th,Warning,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8,9.4,9,8.4,6.37,1.66,0.267,0.418,0.08,0.418
Fiji,2014,68th,Warning,7,7.9,7.3,7,7.1,7.3,7.8,4.8,7.2,5,3.7,6.9,7.68,1.74,0.876,0.863,1.26,0.863
Finland,2014,178th,Sustainable,1.3,1.1,1.3,3.5,1.3,2.2,0.8,1.4,1.2,1.8,1.5,1.3,6.41,2.06,0.315,0.441,0,0.441
France,2014,160th,Stable,2.6,1.9,6.4,4.5,4,2.2,2.1,1.8,2.2,3,2.5,1.6,7,4.08,0.777,0.734,1.99,0.734
Gabon,2014,99th,Warning,5.1,7.1,3.6,5.1,7,5.5,7.7,7.1,6.6,6.9,5.3,5.2,8.08,6.04,0.847,0.893,0,0.893
Gambia,2014,59th,Warning,5.2,6.8,3.7,7.5,7.1,7.4,7.5,7.8,8.3,7.9,6.7,7.2,8.22,2.48,0.832,0.894,3.55,0.894
Georgia,2014,63rd,Warning,7.6,9.5,8,6.3,6.2,5.5,8.7,5.1,6.1,4.9,7.2,7.6,6.44,1,0.618,0.694,6.24,0.694
Germany,2014,165th,Sustainable,2.4,2,4.3,2.9,3.6,2.4,1.5,1.9,1.8,2.9,3.3,1.6,6.02,1.18,0.358,0.45,0.1,0.45
Ghana,2014,108th,Warning,4.1,5,4.9,6,6.8,7.3,4.8,7.9,4.9,6.9,5.8,6.3,7.49,5.3,0.794,0.768,3.71,0.768
Greece,2014,137th,Stable,4.2,3.5,5.1,6.5,4,4.1,6.4,3.6,3.7,3.5,1.9,5.6,8.09,0.56,0.914,0.924,2.61,0.924
Grenada,2014,118th,Warning,5.3,5.6,3.9,6.1,5.6,8.2,6.2,3.9,4,5.5,3.5,7.4,6.14,0.34,0.546,0.575,6.76,0.575
Guatemala,2014,66th,Warning,6.7,6,7.6,6.1,7.9,6.8,6.5,7.1,6.7,7.2,6,5.7,8.09,1.52,0.83,0.865,0.01,0.865
Guinea,2014,12th,Alert,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3,7.34,2.24,0.725,0.751,5.52,0.751
Guinea Bissau,2014,16th,Warning,8.6,9.6,6,8.4,8.1,8.3,9.3,9.1,7.5,8.5,8.1,9.1,7.18,1.38,0.508,0.637,7.86,0.637
Guyana,2014,106th,Warning,5.5,5.1,6.2,6.7,6.5,8.8,5.6,6.3,4.1,5.9,4.1,6.2,5.88,0.78,0.33,0.414,4.66,0.414
Haiti,2014,9th,Warning,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8,5.52,0.66,0.353,0.421,2.58,0.421
Honduras,2014,75th,Warning,6.4,7,6.1,6.6,7.8,6.3,7,6.7,6,6.7,4.2,7.1,6.64,1.54,0.572,0.638,7.19,0.638
Hungary,2014,141st,Stable,2.6,4.9,4.4,5.6,4.6,3.6,6,3.2,4.1,2.8,2.8,3.7,6.28,0.98,0.422,0.49,0,0.49
Iceland,2014,171st,Sustainable,1.3,1.8,1,3.9,1.9,3.1,1.2,1.9,1.4,1.9,1.6,4.9,7.31,0.7,0.518,0.623,0,0.623
India,2014,81st,Warning,7.9,6.8,7.8,5.7,7.8,5.2,5.3,7,5.6,7.7,5.1,5,8.4,1.18,0.822,0.916,0.16,0.916
Indonesia,2014,82nd,Warning,6.5,7,7.6,5.5,6.6,6,6.5,6,6.2,7.4,5.9,5.6,7.52,2.12,0.835,0.834,0.54,0.834
Iran,2014,44th,Warning,8.3,9.4,8.8,6.4,6.4,5.9,8.7,4.8,9.3,5.3,6.8,7.1,8.26,3.2,0.906,0.919,2.38,0.919
Iraq,2014,13th,Warning,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9,6.8,2.26,0.525,0.615,0.24,0.615
Ireland,2014,170th,Sustainable,2.1,1.3,1.6,4.2,2.7,3.1,1.8,2.2,1.2,2.5,1.4,2,6.89,1.18,0.622,0.686,0,0.686
Israel and West Bank,2014,67th,Warning,6.8,8.1,9.7,4,7.2,3.5,6.6,5.6,7.1,6.3,7.1,7.5,7.54,2.54,0.704,0.774,0.76,0.774
Italy,2014,148th,Stable,4.7,4.9,4.6,5.1,3.3,2.3,4.2,2.6,2.8,3.6,3.4,1.9,6.94,2.74,0.5,0.649,0.06,0.649
Jamaica,2014,119th,Warning,6,3.7,4,6.8,5.8,7.5,5.6,5.6,5.1,5.5,3.3,6,8.09,0.7,0.91,0.92,1.76,0.92
Japan,2014,157th,Sustainable,1.9,2.6,4.1,3.6,2.1,2.3,2,2.4,3.3,4.7,3.4,3.9,8.24,2.38,0.87,0.898,0,0.898
Jordan,2014,83rd,Warning,5.5,6.9,7.4,6.6,6.2,3.9,6.4,5,7.3,6.7,8.3,6.5,8.31,1.02,0.804,0.881,5.21,0.881
Kazakhstan,2014,111th,Warning,6,7.6,6.5,5.9,5,3.9,7.7,4.8,7.2,5.1,3.8,5,7.57,1.84,0.677,0.729,2.95,0.729
Kenya,2014,18th,Warning,8.2,9.3,9.3,7.9,8,7.8,8.4,8.2,6.8,8.7,8.2,8.2,8.35,1.34,0.842,0.902,1.18,0.902
Kuwait,2014,127th,Stable,4.2,8,4.9,3.3,5,3.4,7.3,2.8,6.9,5.4,3.7,4.1,7.4,0.7,0.701,0.741,3.29,0.741
Kyrgyz Republic,2014,58th,Warning,7.1,8,8.2,7.3,6.7,6.1,8.2,5.9,7.3,6,5.5,7.6,6.94,0.7,0.805,0.793,2.85,0.793
Laos,2014,56th,Warning,6.3,8.3,6,5.8,6.6,7.1,8.6,7.4,8,7.4,5.9,6.9,6.16,1.64,0.518,0.55,4.67,0.55
Latvia,2014,142nd,Stable,3.3,4.3,5.8,4.3,4.6,4.1,4.2,3.7,3.3,3.7,3.2,3.5,6.6,0.3,0.59,0.586,2.11,0.586
Lebanon,2014,46th,Warning,8.6,9.3,8.9,5.6,6,5.7,7.3,5.7,6.8,6,8.6,8.4,7.03,2.16,0.867,0.899,5.98,0.899
